POWERPLANT_FULLNAME,City
Bergkamen,Bergkamen
Bexbach,Bexbach
Datteln,Datteln
Elverlingsen,Elverlingsen
Emsland,Lingen
Ensdorf,Ensdorf
GKM AG Amprion,Manheim
Gersteinwerk,Werne
GuD Dormagen,Dormagen
GuD Ludwigshafen Mit,Ludwigshafen
GuD Ludwigshafen Süd,Ludwigshafen
Gundremmingen,Gundremmingen
HERDECKE,Herdecke
HKW Klingenberg,Berlin
HKW Lichterfelde,Berlin
HKW Mitte,Berlin
HKW Moorburg,Hamburg
HKW Nord,Munich
HKW Reuter,Berlin
HKW Reuter West,Berlin
HKW Tiefstack,Hamburg
HKW Wedel,Wedel
Herne,Herne
Huckingen (HKM),Huckingen
Ibbenbüren,Ibbenbüren
KW Boxberg,Boxberg
KW Hamm-Uentrop,Hamm-Uentrop
KW Jänschwalde,Jänschwalde
KW Lippendorf,Lippendorf
KW Lünen,Lünen
KW Mainz-Wiesbaden,Mainz
KW Schwarze Pumpe,Spremberg
Knapsack 1,Knapsack
Knapsack 2,Knapsack
Koepchenwerk,Herdecke
Kraftwerk Ensdorf,Ensdorf
Kraftwerk Lausward,D�sseldorf
Kraftwerk Rostock,Rostock
Luenen,Lünen
Neurath,Grevenbroich
Niederaußem,Bergheim
PSW Goldisthal,Goldisthal
PSW Markersbach,Markersbach
RUHRORT-KW,Duisburg
Schkopau,Schkopau
Schluchsee,Laufenburg
Scholven,Gelsenkirchen
Vianden,Vianden
Voelklingen,Völklingen
Walsum,Duisburg
Weiher,Quierschied
Weisweiler,Eschweiler
Westfalen,Hamm
