date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,8,5,0,2,2,2,97,05:27 PM,08:20 AM,09:27 AM,05:43 PM,3,2,6,2,40,97,79,3.9,1005,8,10,232,28,Bexbach
2018-01-02,5,4,0,2,1,1,100,06:32 PM,09:26 AM,09:27 AM,05:44 PM,2,0,5,0,33,96,83,2.1,1012,5,10,243,23,Bexbach
2018-01-03,11,6,0,2,2,2,89,07:45 PM,10:21 AM,09:27 AM,05:45 PM,4,3,8,3,48,92,79,6.5,1001,11,7,248,33,Bexbach
2018-01-04,12,6,0,2.1,2,2,81,09:02 PM,11:07 AM,09:26 AM,05:46 PM,6,5,8,5,37,90,87,5.7,1001,12,10,245,24,Bexbach
2018-01-05,8,7,0,2.1,2,2,74,10:18 PM,11:44 AM,09:26 AM,05:47 PM,6,4,7,4,30,86,89,2.9,1002,8,10,237,20,Bexbach
2018-01-06,7,6,0,2.1,2,2,67,11:32 PM,12:15 PM,09:26 AM,05:48 PM,6,5,6,5,12,100,95,5.5,1007,7,5,129,8,Bexbach
2018-01-07,5,4,0,2.1,1,1,59,No moonrise,12:42 PM,09:26 AM,05:50 PM,3,0,5,0,32,100,88,0.1,1017,5,9,55,23,Bexbach
2018-01-08,6,4,0,2.1,1,1,52,12:43 AM,01:07 PM,09:25 AM,05:51 PM,2,0,4,0,32,80,88,0,1019,6,10,71,23,Bexbach
2018-01-09,6,3,0,2.1,1,1,45,01:52 AM,01:32 PM,09:25 AM,05:52 PM,3,2,5,2,17,83,91,0,1013,6,8,132,11,Bexbach
2018-01-10,8,4,0,3.9,2,2,38,02:58 AM,01:56 PM,09:24 AM,05:53 PM,4,3,5,3,16,83,88,0.5,1012,8,7,187,10,Bexbach
