date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,6,0,3.9,2,2,97,05:16 PM,08:29 AM,09:37 AM,05:32 PM,2,4,7,4,29,82,72,3.5,1000,9,10,222,21,Datteln
2018-01-02,6,4,0,3.9,2,2,100,06:22 PM,09:35 AM,09:37 AM,05:33 PM,2,2,5,2,26,90,80,0.8,1007,6,8,239,18,Datteln
2018-01-03,10,7,0,2,2,2,89,07:36 PM,10:29 AM,09:37 AM,05:34 PM,3,4,8,4,48,92,73,8.2,992,10,8,245,33,Datteln
2018-01-04,10,6,0,2,2,2,81,08:54 PM,11:14 AM,09:37 AM,05:35 PM,4,4,8,4,32,95,80,0.9,995,10,9,236,22,Datteln
2018-01-05,8,7,0,3.9,2,2,74,10:13 PM,11:49 AM,09:36 AM,05:36 PM,4,5,8,5,28,69,77,0.6,997,8,9,231,19,Datteln
2018-01-06,7,4,0,2,2,2,67,11:29 PM,12:18 PM,09:36 AM,05:37 PM,3,4,6,4,14,62,84,0.2,1009,7,9,145,9,Datteln
2018-01-07,4,1,0,5.8,2,2,59,No moonrise,12:43 PM,09:36 AM,05:39 PM,-2,-2,2,-2,28,49,76,0.4,1025,4,10,57,20,Datteln
2018-01-08,5,1,0,5.8,2,2,52,12:42 AM,01:06 PM,09:35 AM,05:40 PM,-2,-2,2,-2,28,19,73,0,1026,5,10,80,18,Datteln
2018-01-09,5,2,0,5.8,2,2,45,01:53 AM,01:29 PM,09:35 AM,05:41 PM,2,2,4,2,16,42,85,0,1014,5,10,116,10,Datteln
2018-01-10,8,5,0,3.9,2,2,38,03:00 AM,01:52 PM,09:34 AM,05:43 PM,4,5,7,5,18,62,86,0,1010,8,10,171,10,Datteln
