date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,6,0,3.9,2,2,97,05:21 PM,08:28 AM,09:37 AM,05:37 PM,2,4,7,4,29,70,71,3.8,1001,9,9,219,20,Dormagen
2018-01-02,7,6,0,3.9,2,2,100,06:26 PM,09:35 AM,09:37 AM,05:38 PM,3,3,6,3,26,94,78,2.9,1008,7,8,239,17,Dormagen
2018-01-03,11,8,0,2,2,2,89,07:41 PM,10:29 AM,09:36 AM,05:39 PM,3,5,8,5,44,90,70,5.9,994,11,9,244,30,Dormagen
2018-01-04,10,6,0,2,2,2,81,08:58 PM,11:14 AM,09:36 AM,05:40 PM,5,5,8,5,27,81,81,1.2,997,10,10,231,17,Dormagen
2018-01-05,9,6,0,3.9,3,3,74,10:16 PM,11:50 AM,09:36 AM,05:41 PM,5,6,8,6,21,56,79,0.3,998,9,10,224,13,Dormagen
2018-01-06,7,4,0,2,2,2,67,11:32 PM,12:19 PM,09:36 AM,05:42 PM,4,5,6,5,11,69,85,0.4,1009,7,9,107,7,Dormagen
2018-01-07,5,3,0,5.8,1,1,59,No moonrise,12:45 PM,09:35 AM,05:44 PM,0,1,4,1,23,73,75,0.8,1024,5,10,53,16,Dormagen
2018-01-08,6,3,0,5.8,2,2,52,12:44 AM,01:09 PM,09:35 AM,05:45 PM,0,1,4,1,20,48,76,0,1024,6,10,84,13,Dormagen
2018-01-09,6,3,0,3.9,2,2,45,01:54 AM,01:32 PM,09:34 AM,05:46 PM,3,3,5,3,17,52,85,0,1013,6,10,127,11,Dormagen
2018-01-10,9,6,0,5.8,3,3,38,03:02 AM,01:55 PM,09:34 AM,05:48 PM,5,5,7,5,17,70,84,0.1,1010,9,10,153,10,Dormagen
2018-01-11,8,4,0,3.9,3,3,30,04:07 AM,02:20 PM,09:33 AM,05:49 PM,5,6,6,6,6,66,92,0.4,1017,8,8,197,4,Dormagen
2018-01-12,6,3,0,2,1,1,23,05:12 AM,02:49 PM,09:32 AM,05:50 PM,4,5,5,5,4,87,93,0,1026,6,7,265,3,Dormagen
2018-01-13,6,3,0,2.1,1,1,16,06:13 AM,03:22 PM,09:32 AM,05:52 PM,2,3,5,3,15,74,81,0,1025,6,7,117,10,Dormagen
2018-01-14,4,1,0,3.9,2,2,9,07:11 AM,04:00 PM,09:31 AM,05:53 PM,-1,0,3,0,18,42,76,0,1022,4,10,129,13,Dormagen
2018-01-15,8,1,0,2.1,2,2,1,08:04 AM,04:44 PM,09:30 AM,05:55 PM,1,1,5,1,29,62,75,3.9,1008,8,10,172,19,Dormagen
2018-01-16,7,3,0,3.9,3,3,0,08:51 AM,05:35 PM,09:29 AM,05:56 PM,1,2,6,2,29,63,75,3.4,994,7,10,254,20,Dormagen
2018-01-17,4,2,0.1,2.1,1,1,0,09:33 AM,06:31 PM,09:29 AM,05:58 PM,-1,-2,3,-2,33,92,77,3.4,1001,4,9,258,22,Dormagen
2018-01-18,9,3,0,2.1,2,2,6,10:08 AM,07:32 PM,09:28 AM,05:59 PM,1,2,5,2,32,91,74,2.4,999,9,8,242,22,Dormagen
2018-01-19,5,2,0.5,6.9,2,2,13,10:39 AM,08:35 PM,09:27 AM,06:01 PM,0,0,4,0,21,79,79,2.7,1008,5,9,249,14,Dormagen
2018-01-20,4,1,0.8,3.3,2,2,20,11:06 AM,09:41 PM,09:26 AM,06:03 PM,1,1,3,1,13,82,86,2.2,1005,4,8,199,8,Dormagen
2018-01-21,4,1,0.5,6.9,1,1,28,11:31 AM,10:48 PM,09:24 AM,06:04 PM,0,0,3,0,15,68,83,0.6,1013,4,9,250,10,Dormagen
2018-01-22,7,2,0,3.3,1,1,35,11:54 AM,11:57 PM,09:23 AM,06:06 PM,3,3,5,3,18,92,87,1.1,1010,7,8,226,12,Dormagen
2018-01-23,9,5,0,5.1,2,2,42,12:16 PM,No moonset,09:22 AM,06:07 PM,5,5,7,5,18,82,83,0.9,1021,9,9,215,12,Dormagen
2018-01-24,13,9,0,5.1,4,4,49,12:40 PM,01:07 AM,09:21 AM,06:09 PM,8,9,11,9,27,77,81,0.1,1016,13,10,199,16,Dormagen
2018-01-25,11,7,0,3.3,2,2,57,01:07 PM,02:19 AM,09:20 AM,06:11 PM,7,8,9,8,11,78,85,3.7,1013,11,8,193,8,Dormagen
2018-01-26,8,5,0,8.7,2,2,64,01:39 PM,03:34 AM,09:18 AM,06:13 PM,5,7,7,7,5,54,88,0,1019,8,10,241,4,Dormagen
2018-01-27,8,3,0,8.7,2,2,71,02:16 PM,04:49 AM,09:17 AM,06:14 PM,2,4,6,4,12,30,80,0,1030,8,9,205,8,Dormagen
2018-01-28,10,6,0,3.4,2,2,78,03:04 PM,06:03 AM,09:16 AM,06:16 PM,5,6,8,6,22,99,83,1.4,1030,10,9,239,14,Dormagen
2018-01-29,10,8,0,3.4,2,2,86,04:02 PM,07:12 AM,09:14 AM,06:18 PM,6,7,9,7,28,86,81,2.4,1027,10,8,250,18,Dormagen
2018-01-30,7,3,0,8.7,3,3,93,05:11 PM,08:12 AM,09:13 AM,06:19 PM,3,5,6,5,10,16,78,0,1028,7,10,230,8,Dormagen
2018-01-31,9,6,0,3.4,2,2,97,06:27 PM,09:03 AM,09:11 AM,06:21 PM,5,5,8,5,29,89,81,3.8,1008,9,8,223,18,Dormagen
2018-02-01,5,2,0,5.2,2,2,88,07:47 PM,09:43 AM,09:10 AM,06:23 PM,-1,1,4,1,20,42,72,1,1002,5,10,231,15,Dormagen
2018-02-02,5,2,0,5.2,1,1,81,09:06 PM,10:16 AM,09:08 AM,06:25 PM,1,0,3,0,20,76,83,2.6,1004,5,10,256,14,Dormagen
2018-02-03,5,2,0.3,5.2,1,1,73,10:22 PM,10:45 AM,09:07 AM,06:27 PM,0,2,3,2,9,78,79,0.4,1008,5,9,254,7,Dormagen
2018-02-04,2,-1,0.2,5.2,2,2,66,11:36 PM,11:11 AM,09:05 AM,06:28 PM,-4,-2,1,-2,13,61,72,0.2,1019,2,10,107,10,Dormagen
2018-02-05,4,-1,0,8.7,2,2,58,No moonrise,11:35 AM,09:04 AM,06:30 PM,-5,-1,2,-1,14,16,61,0,1026,4,10,77,11,Dormagen
2018-02-06,1,-2,0.3,3.5,1,1,51,12:46 AM,11:58 AM,09:02 AM,06:32 PM,-6,-3,0,-3,11,62,64,0.3,1016,1,9,79,9,Dormagen
2018-02-07,2,-1,0,9.3,2,2,43,01:55 AM,12:23 PM,09:00 AM,06:34 PM,-5,-2,0,-2,9,44,65,0,1016,2,10,185,8,Dormagen
2018-02-08,1,-3,0,9.8,2,2,36,03:01 AM,12:51 PM,08:59 AM,06:36 PM,-7,0,1,0,4,6,54,0,1020,1,10,255,4,Dormagen
2018-02-09,2,-3,0,9.8,2,2,28,04:03 AM,01:22 PM,08:57 AM,06:37 PM,-5,-3,0,-3,13,26,71,0,1016,2,10,158,10,Dormagen
2018-02-10,3,0,0.1,4.9,1,1,20,05:03 AM,01:58 PM,08:55 AM,06:39 PM,0,-1,2,-1,14,89,89,0.3,1015,3,9,196,9,Dormagen
2018-02-11,5,1,0,8.3,1,1,13,05:58 AM,02:40 PM,08:53 AM,06:41 PM,0,-1,3,-1,24,72,80,2.6,1004,5,9,216,15,Dormagen
2018-02-12,4,0,0.4,9.9,2,2,5,06:48 AM,03:29 PM,08:51 AM,06:43 PM,-2,-2,2,-2,20,46,76,0.4,1013,4,9,250,14,Dormagen
2018-02-13,5,-1,0,10,2,2,0,07:31 AM,04:23 PM,08:49 AM,06:45 PM,-3,0,3,0,16,3,67,0,1014,5,10,163,13,Dormagen
2018-02-14,5,-1,0,10,2,2,0,08:09 AM,05:23 PM,08:48 AM,06:47 PM,-5,-1,3,-1,21,21,57,0,1016,5,10,142,16,Dormagen
2018-02-15,5,2,0,5,1,1,0,08:41 AM,06:26 PM,08:46 AM,06:48 PM,0,0,3,0,24,87,79,1.7,1014,5,7,175,15,Dormagen
2018-02-16,7,1,0,10.1,2,2,2,09:10 AM,07:32 PM,08:44 AM,06:50 PM,1,3,5,3,11,19,78,0,1025,7,8,227,7,Dormagen
2018-02-17,6,1,0,6.7,1,1,10,09:36 AM,08:39 PM,08:42 AM,06:52 PM,-1,2,4,2,11,59,70,0,1024,6,10,101,7,Dormagen
2018-02-18,6,0,0,10.1,2,2,17,09:59 AM,09:49 PM,08:40 AM,06:54 PM,-2,2,4,2,12,14,67,0,1027,6,10,149,10,Dormagen
2018-02-19,5,0,0,8.3,1,1,25,10:22 AM,10:58 PM,08:38 AM,06:56 PM,-4,1,3,1,8,55,64,0,1021,5,10,136,6,Dormagen
2018-02-20,6,-1,0,10.2,2,2,32,10:45 AM,No moonset,08:36 AM,06:57 PM,-3,2,3,2,9,20,64,0,1019,6,10,59,6,Dormagen
2018-02-21,5,-1,0,10.3,2,2,40,11:11 AM,12:10 AM,08:34 AM,06:59 PM,-3,1,3,1,12,3,66,0,1024,5,10,40,10,Dormagen
2018-02-22,4,-1,0,10.7,2,2,47,11:40 AM,01:23 AM,08:32 AM,07:01 PM,-5,-1,2,-1,16,3,58,0,1023,4,10,63,13,Dormagen
2018-02-23,3,-2,0,10.7,2,2,55,12:14 PM,02:36 AM,08:30 AM,07:03 PM,-8,-2,2,-2,16,4,49,0,1022,3,10,68,13,Dormagen
2018-02-24,3,-2,0,10.8,2,2,62,12:56 PM,03:48 AM,08:28 AM,07:05 PM,-14,-4,1,-4,23,13,34,0,1025,3,10,80,17,Dormagen
2018-02-25,0,-4,0,10.1,2,2,70,01:48 PM,04:57 AM,08:26 AM,07:06 PM,-16,-6,-1,-6,19,30,32,0,1029,0,10,73,15,Dormagen
2018-02-26,-2,-5,0,7,1,1,77,02:49 PM,05:59 AM,08:24 AM,07:08 PM,-12,-8,-3,-8,19,61,51,0,1028,-2,10,48,15,Dormagen
2018-02-27,-1,-7,0,10.1,2,2,85,04:00 PM,06:51 AM,08:22 AM,07:10 PM,-15,-8,-3,-8,17,23,41,0,1022,-1,10,55,14,Dormagen
2018-02-28,-3,-7,0,10.9,2,2,93,05:17 PM,07:36 AM,08:20 AM,07:12 PM,-18,-11,-5,-11,22,13,37,0,1021,-3,10,93,17,Dormagen
2018-03-01,0,-7,0,11,2,2,96,06:36 PM,08:12 AM,08:17 AM,07:13 PM,-17,-10,-4,-10,28,41,36,0,1010,0,10,94,20,Dormagen
2018-03-02,1,-5,0.1,8.6,2,2,100,07:55 PM,08:42 AM,08:15 AM,07:15 PM,-16,-7,-2,-7,20,52,34,0.1,1000,1,9,100,16,Dormagen
2018-03-03,3,-3,1.2,11,2,2,89,09:11 PM,09:09 AM,08:13 AM,07:17 PM,-4,-4,0,-4,17,49,79,1.4,999,3,9,117,13,Dormagen
2018-03-04,8,0,0,10.1,1,1,82,10:25 PM,09:34 AM,08:11 AM,07:19 PM,2,1,4,1,21,67,83,1.7,997,8,10,136,13,Dormagen
2018-03-05,11,3,0,10.1,3,3,74,11:36 PM,09:59 AM,08:09 AM,07:20 PM,4,5,7,5,17,32,82,0,995,11,10,157,10,Dormagen
2018-03-06,12,4,0,10.1,3,3,67,No moonrise,10:23 AM,08:07 AM,07:22 PM,4,6,8,6,12,63,80,0.5,992,12,9,200,7,Dormagen
2018-03-07,9,4,0,7.1,3,3,60,12:45 AM,10:50 AM,08:05 AM,07:24 PM,4,5,7,5,12,67,80,1.1,995,9,9,202,9,Dormagen
2018-03-08,9,3,0,8.6,3,3,53,01:51 AM,11:21 AM,08:02 AM,07:26 PM,2,3,6,3,24,47,74,4.1,1002,9,10,217,17,Dormagen
2018-03-09,10,2,0,10.1,3,3,45,02:53 AM,11:55 AM,08:00 AM,07:27 PM,3,5,7,5,14,42,76,0.8,1007,10,10,189,10,Dormagen
