date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,5,0,2,2,2,97,05:17 PM,08:26 AM,09:34 AM,05:32 PM,2,3,6,3,27,96,77,4.3,1001,9,10,216,19,Elverlingsen
2018-01-02,5,4,0,2,1,1,100,06:22 PM,09:32 AM,09:34 AM,05:33 PM,2,1,5,1,24,97,85,3,1008,5,10,243,17,Elverlingsen
2018-01-03,9,6,0,2,2,2,89,07:36 PM,10:26 AM,09:34 AM,05:34 PM,3,2,7,2,44,96,78,7,994,9,9,245,30,Elverlingsen
2018-01-04,9,5,0,2,2,2,81,08:54 PM,11:11 AM,09:34 AM,05:36 PM,4,3,7,3,28,99,84,1.1,996,9,9,235,19,Elverlingsen
2018-01-05,8,5,0,3.9,3,3,74,10:12 PM,11:47 AM,09:33 AM,05:37 PM,4,4,7,4,23,72,83,0,998,8,10,226,15,Elverlingsen
2018-01-06,6,3,0,2,1,1,67,11:28 PM,12:16 PM,09:33 AM,05:38 PM,3,3,5,3,11,74,89,0.2,1009,6,10,126,7,Elverlingsen
2018-01-07,4,1,0.7,5.8,1,1,59,No moonrise,12:41 PM,09:33 AM,05:39 PM,0,-2,2,-2,24,81,82,0.8,1024,4,9,58,17,Elverlingsen
2018-01-08,4,1,0,5.8,2,2,52,12:41 AM,01:05 PM,09:32 AM,05:41 PM,-1,-2,2,-2,23,41,81,0,1025,4,10,88,15,Elverlingsen
2018-01-09,5,2,0,5.8,2,2,45,01:51 AM,01:28 PM,09:32 AM,05:42 PM,2,1,4,1,17,41,88,0,1014,5,10,132,10,Elverlingsen
2018-01-10,8,4,0,5.8,3,3,38,02:59 AM,01:51 PM,09:31 AM,05:43 PM,4,3,6,3,16,52,89,0,1011,8,9,163,10,Elverlingsen
2018-01-11,7,3,0,2,1,1,30,04:04 AM,02:16 PM,09:30 AM,05:45 PM,4,5,5,5,6,81,93,0.2,1017,7,6,154,3,Elverlingsen
2018-01-12,5,2,0,2,1,1,23,05:08 AM,02:45 PM,09:30 AM,05:46 PM,3,4,4,4,3,91,94,0,1026,5,6,114,2,Elverlingsen
2018-01-13,5,1,0,3.9,2,2,16,06:10 AM,03:17 PM,09:29 AM,05:48 PM,1,1,4,1,13,61,85,0,1026,5,9,117,9,Elverlingsen
2018-01-14,3,0,0,5.8,2,2,9,07:08 AM,03:55 PM,09:28 AM,05:49 PM,-2,-2,1,-2,16,14,79,0,1023,3,10,131,11,Elverlingsen
2018-01-15,5,0,0,2.1,1,1,1,08:01 AM,04:39 PM,09:28 AM,05:51 PM,-1,-2,3,-2,31,60,79,4.6,1009,5,10,180,20,Elverlingsen
2018-01-16,6,1,1.1,3.9,2,2,0,08:48 AM,05:31 PM,09:27 AM,05:52 PM,1,0,4,0,27,71,83,3.3,994,6,9,251,18,Elverlingsen
2018-01-17,2,0,4.2,2.1,1,1,0,09:30 AM,06:26 PM,09:26 AM,05:54 PM,-1,-3,1,-3,29,95,84,4.9,1000,2,8,256,20,Elverlingsen
2018-01-18,7,1,0.5,2.1,1,1,6,10:05 AM,07:28 PM,09:25 AM,05:55 PM,1,-1,3,-1,33,88,84,4,999,7,8,240,22,Elverlingsen
2018-01-19,3,0,3.4,3.9,1,1,13,10:36 AM,08:31 PM,09:24 AM,05:57 PM,0,-2,1,-2,18,83,90,4,1008,3,7,240,12,Elverlingsen
2018-01-20,2,0,1.4,2.1,1,1,20,11:03 AM,09:37 PM,09:23 AM,05:58 PM,0,-1,1,-1,13,88,92,1.7,1006,2,8,202,9,Elverlingsen
2018-01-21,2,0,0.2,5.1,1,1,28,11:27 AM,10:44 PM,09:22 AM,06:00 PM,0,-2,1,-2,14,84,89,0.2,1013,2,8,254,9,Elverlingsen
2018-01-22,5,1,0.4,3.3,1,1,35,11:50 AM,11:53 PM,09:21 AM,06:02 PM,2,0,3,0,19,91,91,0.9,1010,5,7,224,12,Elverlingsen
2018-01-23,7,4,0,5.1,3,3,42,12:13 PM,No moonset,09:19 AM,06:03 PM,4,3,5,3,20,83,89,0,1021,7,7,221,13,Elverlingsen
2018-01-24,11,8,0,3.3,2,2,49,12:37 PM,01:04 AM,09:18 AM,06:05 PM,7,7,9,7,30,90,86,0,1017,11,10,205,19,Elverlingsen
2018-01-25,10,6,0,3.3,2,2,57,01:03 PM,02:16 AM,09:17 AM,06:07 PM,6,6,8,6,15,88,88,3.3,1013,10,9,212,10,Elverlingsen
2018-01-26,7,3,0,6.9,1,1,64,01:35 PM,03:31 AM,09:16 AM,06:08 PM,4,5,5,5,6,73,92,0.1,1019,7,6,246,4,Elverlingsen
2018-01-27,6,2,0,6.9,2,2,71,02:12 PM,04:46 AM,09:14 AM,06:10 PM,2,2,4,2,14,44,87,0,1030,6,7,202,9,Elverlingsen
2018-01-28,8,4,0,3.4,2,2,78,02:59 PM,06:00 AM,09:13 AM,06:12 PM,4,3,7,3,26,100,86,0.1,1030,8,10,235,17,Elverlingsen
2018-01-29,9,7,0,3.4,2,2,86,03:57 PM,07:10 AM,09:12 AM,06:14 PM,6,5,8,5,30,90,85,2.3,1026,9,8,248,20,Elverlingsen
2018-01-30,6,2,0,8.7,2,2,93,05:06 PM,08:10 AM,09:10 AM,06:15 PM,2,2,4,2,13,29,85,0,1028,6,10,231,9,Elverlingsen
2018-01-31,8,4,0,3.4,2,2,97,06:22 PM,09:00 AM,09:09 AM,06:17 PM,4,3,6,3,29,98,86,6.2,1008,8,9,222,19,Elverlingsen
2018-02-01,4,0,0.9,5.2,2,2,88,07:43 PM,09:40 AM,09:07 AM,06:19 PM,-1,-2,2,-2,20,45,81,1,1001,4,9,227,14,Elverlingsen
2018-02-02,3,0,1.3,3.4,1,1,81,09:02 PM,10:13 AM,09:05 AM,06:21 PM,0,-2,2,-2,18,87,89,1.5,1004,3,7,244,12,Elverlingsen
2018-02-03,3,0,0.5,6.9,1,1,73,10:18 PM,10:42 AM,09:04 AM,06:23 PM,-1,0,2,0,9,77,82,0.6,1007,3,8,251,7,Elverlingsen
2018-02-04,0,-3,0,5.2,2,2,66,11:32 PM,11:07 AM,09:02 AM,06:24 PM,-5,-5,-1,-5,13,65,77,0,1018,0,10,25,10,Elverlingsen
2018-02-05,2,-3,0,8.7,2,2,58,No moonrise,11:31 AM,09:01 AM,06:26 PM,-6,-5,-1,-5,17,9,71,0,1026,2,10,82,12,Elverlingsen
2018-02-06,0,-4,0,4.8,1,1,51,12:43 AM,11:55 AM,08:59 AM,06:28 PM,-6,-5,-2,-5,11,70,72,0,1017,0,10,83,8,Elverlingsen
2018-02-07,2,-4,0.1,9.7,2,2,43,01:52 AM,12:19 PM,08:57 AM,06:30 PM,-5,-3,-1,-3,8,39,77,0.1,1016,2,10,20,6,Elverlingsen
2018-02-08,0,-5,0,9.8,2,2,36,02:57 AM,12:47 PM,08:56 AM,06:32 PM,-8,-1,-1,-1,4,6,62,0,1020,0,10,241,3,Elverlingsen
2018-02-09,1,-5,0,9.8,2,2,28,04:01 AM,01:18 PM,08:54 AM,06:33 PM,-7,-5,-2,-5,13,14,69,0,1016,1,10,172,9,Elverlingsen
2018-02-10,2,-1,0,4.9,1,1,20,05:00 AM,01:54 PM,08:52 AM,06:35 PM,-1,-3,0,-3,16,96,90,0,1015,2,9,198,10,Elverlingsen
2018-02-11,4,-1,0.8,6.6,1,1,13,05:55 AM,02:36 PM,08:50 AM,06:37 PM,-2,-3,1,-3,26,73,82,0.9,1004,4,9,217,17,Elverlingsen
2018-02-12,2,-2,0.6,8.3,1,1,5,06:45 AM,03:24 PM,08:48 AM,06:39 PM,-2,-4,0,-4,19,69,83,0.7,1012,2,9,247,13,Elverlingsen
2018-02-13,3,-3,0,10,2,2,0,07:29 AM,04:19 PM,08:46 AM,06:41 PM,-4,-4,0,-4,17,4,78,0,1015,3,10,166,11,Elverlingsen
2018-02-14,3,-4,0,10,2,2,0,08:06 AM,05:19 PM,08:45 AM,06:43 PM,-5,-4,0,-4,20,9,68,0,1017,3,10,145,14,Elverlingsen
2018-02-15,3,0,0.6,5,1,1,0,08:38 AM,06:22 PM,08:43 AM,06:44 PM,-2,-3,1,-3,26,98,79,1.1,1015,3,6,179,17,Elverlingsen
