date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,8,5,0,2,2,2,97,05:29 PM,08:21 AM,09:29 AM,05:45 PM,3,1,6,1,44,94,81,6.1,1005,8,9,231,29,Ensdorf
2018-01-02,5,4,0,2,1,1,100,06:34 PM,09:28 AM,09:29 AM,05:46 PM,3,0,5,0,34,100,86,3,1013,5,10,240,23,Ensdorf
2018-01-03,11,6,0,2,2,2,89,07:47 PM,10:23 AM,09:28 AM,05:47 PM,4,3,8,3,52,94,80,5.1,1002,11,9,251,35,Ensdorf
2018-01-04,12,6,0,2.1,2,2,81,09:04 PM,11:09 AM,09:28 AM,05:48 PM,6,5,8,5,38,91,89,5.6,1001,12,10,245,24,Ensdorf
2018-01-05,8,6,0,2.1,2,2,74,10:20 PM,11:46 AM,09:28 AM,05:49 PM,6,4,7,4,28,92,91,3.3,1002,8,9,233,19,Ensdorf
2018-01-06,7,6,0,2.1,2,2,67,11:34 PM,12:17 PM,09:28 AM,05:50 PM,6,5,6,5,13,100,96,6,1007,7,3,121,9,Ensdorf
2018-01-07,6,4,0,2.1,1,1,59,No moonrise,12:44 PM,09:27 AM,05:52 PM,3,1,5,1,31,99,87,0,1017,6,10,57,22,Ensdorf
2018-01-08,6,4,0,3.9,1,1,52,12:45 AM,01:09 PM,09:27 AM,05:53 PM,3,0,4,0,30,76,87,0,1019,6,10,73,20,Ensdorf
2018-01-09,6,3,0,3.9,1,1,45,01:54 AM,01:34 PM,09:27 AM,05:54 PM,3,2,5,2,20,79,91,0.3,1012,6,8,131,13,Ensdorf
2018-01-10,7,4,0,2.1,2,2,38,03:00 AM,01:58 PM,09:26 AM,05:55 PM,4,3,6,3,18,94,90,2.6,1011,7,8,184,12,Ensdorf
2018-01-11,7,4,0,3.9,2,2,30,04:04 AM,02:25 PM,09:26 AM,05:57 PM,5,5,5,5,6,85,94,1.4,1016,7,6,85,4,Ensdorf
2018-01-12,6,2,0,3.9,1,1,23,05:07 AM,02:54 PM,09:25 AM,05:58 PM,3,3,4,3,9,60,93,0.2,1025,6,5,54,6,Ensdorf
2018-01-13,5,0,0,3.9,2,2,16,06:07 AM,03:28 PM,09:24 AM,05:59 PM,0,-1,2,-1,21,34,88,0,1024,5,7,89,13,Ensdorf
2018-01-14,4,0,0,6.9,2,2,9,07:04 AM,04:07 PM,09:24 AM,06:01 PM,-1,-2,1,-2,20,33,87,0,1021,4,10,103,12,Ensdorf
2018-01-15,6,-1,0,3.3,1,1,1,07:57 AM,04:52 PM,09:23 AM,06:02 PM,0,-1,3,-1,30,84,84,5,1012,6,10,189,19,Ensdorf
2018-01-16,7,4,0,3.3,2,2,0,08:44 AM,05:42 PM,09:22 AM,06:04 PM,3,1,6,1,41,85,84,2.9,999,7,10,254,28,Ensdorf
2018-01-17,4,1,0.1,3.3,1,1,0,09:26 AM,06:38 PM,09:22 AM,06:05 PM,-1,-3,2,-3,40,88,79,1.2,1006,4,6,263,27,Ensdorf
2018-01-18,9,3,0,6.9,2,2,6,10:03 AM,07:38 PM,09:21 AM,06:06 PM,3,1,5,1,43,83,87,5.4,1006,9,9,246,28,Ensdorf
2018-01-19,5,1,0.7,5.1,2,2,13,10:34 AM,08:40 PM,09:20 AM,06:08 PM,1,-2,3,-2,27,62,87,0.9,1011,5,10,259,18,Ensdorf
2018-01-20,3,1,6.1,3.3,1,1,20,11:03 AM,09:44 PM,09:19 AM,06:09 PM,1,-2,2,-2,20,100,94,7.1,1006,3,5,240,13,Ensdorf
2018-01-21,3,-1,1,3.3,1,1,28,11:29 AM,10:50 PM,09:18 AM,06:11 PM,0,-2,1,-2,17,70,88,1.1,1014,3,7,254,11,Ensdorf
2018-01-22,7,2,0,3.4,2,2,35,11:53 AM,11:57 PM,09:17 AM,06:13 PM,5,3,6,3,18,99,97,2.3,1012,7,3,253,10,Ensdorf
2018-01-23,8,5,0,3.4,2,2,42,12:17 PM,No moonset,09:16 AM,06:14 PM,4,3,6,3,22,94,86,0.3,1025,8,10,231,14,Ensdorf
2018-01-24,10,7,0,3.4,2,2,49,12:42 PM,01:06 AM,09:15 AM,06:16 PM,7,6,8,6,29,87,90,0.3,1021,10,9,208,19,Ensdorf
2018-01-25,9,6,0,3.4,2,2,57,01:11 PM,02:17 AM,09:14 AM,06:17 PM,6,5,8,5,24,94,90,8.8,1015,9,8,193,16,Ensdorf
2018-01-26,7,4,0,3.4,2,2,64,01:44 PM,03:30 AM,09:12 AM,06:19 PM,4,5,6,5,8,96,92,2.2,1019,7,5,287,6,Ensdorf
2018-01-27,6,2,0,8.7,2,2,71,02:22 PM,04:44 AM,09:11 AM,06:20 PM,2,3,4,3,10,16,89,0,1031,6,9,154,6,Ensdorf
2018-01-28,6,2,0,3.4,1,1,78,03:11 PM,05:57 AM,09:10 AM,06:22 PM,2,0,4,0,26,91,90,0.3,1036,6,10,229,17,Ensdorf
2018-01-29,8,5,0,3.4,2,2,86,04:09 PM,07:05 AM,09:09 AM,06:24 PM,5,3,7,3,30,95,91,0.4,1032,8,8,238,19,Ensdorf
2018-01-30,8,4,0,3.4,2,2,93,05:18 PM,08:05 AM,09:07 AM,06:25 PM,5,5,6,5,14,74,92,0.6,1030,8,9,240,9,Ensdorf
2018-01-31,7,5,0,3.5,2,2,97,06:33 PM,08:56 AM,09:06 AM,06:27 PM,5,2,6,2,36,100,90,8.4,1013,7,8,225,25,Ensdorf
2018-02-01,4,0,0.9,5.2,2,2,88,07:51 PM,09:39 AM,09:05 AM,06:29 PM,0,-2,2,-2,23,52,87,1.1,1005,4,9,247,16,Ensdorf
2018-02-02,3,0,1.4,3.5,1,1,81,09:09 PM,10:13 AM,09:03 AM,06:30 PM,0,-3,1,-3,22,85,91,1.7,1007,3,7,241,15,Ensdorf
2018-02-03,3,-1,0.1,7,1,1,73,10:23 PM,10:43 AM,09:02 AM,06:32 PM,-1,-1,1,-1,9,72,85,0.2,1008,3,7,254,6,Ensdorf
2018-02-04,1,-3,0.2,8.1,1,1,66,11:36 PM,11:10 AM,09:00 AM,06:34 PM,-3,-3,0,-3,13,66,81,0.3,1017,1,9,106,9,Ensdorf
