date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,6,3,0,5.8,2,2,97,05:17 PM,08:03 AM,09:11 AM,05:34 PM,2,1,5,1,33,68,78,1.8,1009,6,9,224,21,Gundremmingen
2018-01-02,5,2,0,3.9,1,1,100,06:22 PM,09:09 AM,09:10 AM,05:35 PM,0,-1,3,-1,35,84,81,0.7,1014,5,10,254,23,Gundremmingen
2018-01-03,10,4,0,2.1,2,2,89,07:35 PM,10:05 AM,09:10 AM,05:36 PM,2,1,6,1,51,89,77,7.3,1004,10,10,247,33,Gundremmingen
2018-01-04,10,4,0,2.1,2,2,81,08:50 PM,10:51 AM,09:10 AM,05:37 PM,4,2,6,2,35,95,88,14.8,1003,10,8,242,23,Gundremmingen
2018-01-05,10,5,0,3.9,3,3,74,10:06 PM,11:29 AM,09:10 AM,05:38 PM,5,5,7,5,27,56,85,5.1,1003,10,9,245,16,Gundremmingen
2018-01-06,8,4,0,3.9,2,2,67,11:20 PM,12:01 PM,09:10 AM,05:39 PM,5,5,6,5,9,64,94,1.6,1008,8,5,135,6,Gundremmingen
2018-01-07,5,2,0,2.1,1,1,59,No moonrise,12:29 PM,09:09 AM,05:41 PM,3,1,4,1,20,74,92,0.1,1018,5,7,76,13,Gundremmingen
2018-01-08,5,3,0,2.1,1,1,52,12:30 AM,12:55 PM,09:09 AM,05:42 PM,3,0,4,0,25,91,91,0.1,1021,5,10,90,18,Gundremmingen
2018-01-09,7,2,0,5.8,2,2,45,01:38 AM,01:20 PM,09:09 AM,05:43 PM,3,3,5,3,15,58,86,0.1,1014,7,10,140,9,Gundremmingen
2018-01-10,7,3,0,5.8,2,2,38,02:43 AM,01:45 PM,09:08 AM,05:44 PM,2,4,5,4,7,55,84,0.1,1014,7,10,163,4,Gundremmingen
2018-01-11,5,1,0,2.1,1,1,30,03:47 AM,02:12 PM,09:08 AM,05:45 PM,1,2,3,2,6,75,86,0,1017,5,10,101,4,Gundremmingen
2018-01-12,2,1,0,2.1,1,1,23,04:49 AM,02:42 PM,09:07 AM,05:47 PM,0,1,2,1,7,86,88,0.1,1025,2,10,86,5,Gundremmingen
2018-01-13,3,-1,0.1,2.1,1,1,16,05:49 AM,03:16 PM,09:07 AM,05:48 PM,-1,-2,1,-2,17,71,88,0.1,1025,3,7,89,11,Gundremmingen
2018-01-14,1,-2,0,4,1,1,9,06:46 AM,03:55 PM,09:06 AM,05:49 PM,-3,-3,0,-3,13,60,82,0.1,1023,1,10,108,9,Gundremmingen
2018-01-15,4,-2,0,4,2,2,1,07:39 AM,04:40 PM,09:05 AM,05:51 PM,-4,-3,1,-3,19,51,74,2,1017,4,10,183,12,Gundremmingen
2018-01-16,6,3,1.8,2.1,1,1,0,08:26 AM,05:30 PM,09:05 AM,05:52 PM,2,-1,4,-1,40,90,85,10.4,1000,6,8,249,24,Gundremmingen
2018-01-17,3,0,0.8,2.1,1,1,0,09:09 AM,06:25 PM,09:04 AM,05:54 PM,-2,-4,1,-4,39,89,82,3.2,1005,3,5,267,27,Gundremmingen
2018-01-18,6,1,0.4,2.1,1,1,6,09:45 AM,07:25 PM,09:03 AM,05:55 PM,1,-2,4,-2,46,94,84,8.6,1007,6,8,249,29,Gundremmingen
2018-01-19,4,1,2.4,5.8,2,2,13,10:17 AM,08:26 PM,09:02 AM,05:57 PM,0,-2,3,-2,29,53,82,3.6,1011,4,8,265,20,Gundremmingen
2018-01-20,2,-1,5.3,2.1,1,1,20,10:46 AM,09:31 PM,09:01 AM,05:58 PM,-1,-4,1,-4,22,87,90,6.2,1009,2,6,217,15,Gundremmingen
