date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,8,4,0,1.9,2,2,97,04:57 PM,08:26 AM,09:37 AM,05:11 PM,3,3,7,3,30,79,81,1,996,8,9,220,19,Hamburg
2018-01-02,5,3,0,1.9,1,1,100,06:02 PM,09:33 AM,09:37 AM,05:12 PM,3,1,4,1,18,87,90,0,1004,5,9,231,11,Hamburg
2018-01-03,7,4,0,1.9,2,2,89,07:17 PM,10:26 AM,09:36 AM,05:13 PM,3,2,6,2,38,98,83,11.2,984,7,9,221,26,Hamburg
2018-01-04,7,5,0,1.9,2,2,81,08:37 PM,11:09 AM,09:36 AM,05:15 PM,4,3,6,3,25,94,88,3.6,990,7,9,233,17,Hamburg
2018-01-05,7,4,0,3.9,2,2,74,09:58 PM,11:43 AM,09:36 AM,05:16 PM,3,2,6,2,28,87,85,1.9,992,7,8,230,19,Hamburg
2018-01-06,5,1,0,2,1,1,67,11:16 PM,12:10 PM,09:35 AM,05:17 PM,3,1,4,1,17,78,91,0,1007,5,8,195,11,Hamburg
2018-01-07,2,-1,0,5.8,2,2,59,No moonrise,12:34 PM,09:35 AM,05:19 PM,-3,-2,1,-2,14,16,77,0,1029,2,10,50,10,Hamburg
2018-01-08,1,-2,0,5.8,2,2,52,12:30 AM,12:55 PM,09:34 AM,05:20 PM,-10,-5,-1,-5,25,10,52,0,1033,1,10,88,15,Hamburg
2018-01-09,3,0,0,5.8,2,2,45,01:43 AM,01:16 PM,09:34 AM,05:22 PM,-8,-4,1,-4,33,29,55,0,1018,3,10,112,20,Hamburg
2018-01-10,4,1,0,5.8,1,1,38,02:52 AM,01:38 PM,09:33 AM,05:23 PM,1,0,2,0,14,58,95,0,1011,4,3,134,7,Hamburg
2018-01-11,3,0,0,2,1,1,30,04:00 AM,02:01 PM,09:32 AM,05:25 PM,1,0,2,0,11,78,95,1.7,1017,3,4,53,7,Hamburg
2018-01-12,2,1,0,2,1,1,23,05:06 AM,02:27 PM,09:31 AM,05:26 PM,1,-1,2,-1,16,99,91,0.2,1028,2,8,86,11,Hamburg
2018-01-13,2,-1,0,2,1,1,16,06:09 AM,02:59 PM,09:31 AM,05:28 PM,-1,-3,1,-3,21,95,86,0.2,1030,2,10,115,15,Hamburg
2018-01-14,1,-2,0,5.8,2,2,9,07:08 AM,03:36 PM,09:30 AM,05:29 PM,-5,-6,-1,-6,24,28,72,0,1026,1,10,123,16,Hamburg
