date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,6,0,2,2,2,97,05:17 PM,08:27 AM,09:36 AM,05:33 PM,2,4,7,4,27,94,72,3.6,1001,9,10,219,19,Herdecke
2018-01-02,6,5,0,2,2,2,100,06:22 PM,09:34 AM,09:36 AM,05:34 PM,2,2,5,2,24,96,81,1.1,1008,6,10,242,17,Herdecke
2018-01-03,10,7,0,2,2,2,89,07:37 PM,10:28 AM,09:35 AM,05:35 PM,3,3,8,3,43,95,73,4.5,993,10,9,246,30,Herdecke
2018-01-04,10,6,0,2,2,2,81,08:55 PM,11:13 AM,09:35 AM,05:36 PM,4,4,7,4,28,97,81,0.3,996,10,9,235,19,Herdecke
2018-01-05,8,6,0,3.9,2,2,74,10:13 PM,11:48 AM,09:35 AM,05:37 PM,4,5,8,5,24,74,79,0.3,998,8,10,228,16,Herdecke
2018-01-06,7,4,0,2,2,2,67,11:29 PM,12:17 PM,09:35 AM,05:38 PM,3,4,6,4,12,66,85,0.1,1009,7,10,131,8,Herdecke
2018-01-07,4,1,0,5.8,1,1,59,No moonrise,12:43 PM,09:34 AM,05:40 PM,-1,-1,3,-1,24,83,78,0.1,1025,4,10,56,18,Herdecke
2018-01-08,5,1,0,5.8,2,2,52,12:42 AM,01:06 PM,09:34 AM,05:41 PM,-1,-1,3,-1,21,38,77,0,1025,5,10,79,14,Herdecke
2018-01-09,5,2,0,5.8,2,2,45,01:52 AM,01:29 PM,09:33 AM,05:42 PM,2,3,4,3,13,43,86,0,1014,5,10,122,8,Herdecke
2018-01-10,8,5,0,3.9,3,3,38,03:00 AM,01:52 PM,09:33 AM,05:44 PM,4,4,6,4,16,55,86,0,1011,8,10,168,10,Herdecke
2018-01-11,7,4,0,2,2,2,30,04:06 AM,02:17 PM,09:32 AM,05:45 PM,5,5,6,5,6,86,93,0.4,1017,7,6,169,3,Herdecke
2018-01-12,5,2,0,2,1,1,23,05:10 AM,02:45 PM,09:31 AM,05:47 PM,3,4,4,4,3,94,92,0,1026,5,8,116,2,Herdecke
2018-01-13,6,2,0,2,2,2,16,06:11 AM,03:18 PM,09:31 AM,05:48 PM,2,3,4,3,11,61,82,0,1026,6,10,115,8,Herdecke
