date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,6,0,3.9,2,2,97,05:18 PM,08:29 AM,09:37 AM,05:33 PM,2,4,7,4,29,82,71,3.4,1000,9,10,223,21,Herne
2018-01-02,7,5,0,3.9,2,2,100,06:23 PM,09:35 AM,09:37 AM,05:34 PM,2,2,6,2,26,92,80,1.2,1007,7,8,239,18,Herne
2018-01-03,10,7,0,2,2,2,89,07:37 PM,10:30 AM,09:37 AM,05:35 PM,3,4,8,4,47,91,72,7.5,992,10,9,245,33,Herne
2018-01-04,10,6,0,2,2,2,81,08:55 PM,11:14 AM,09:37 AM,05:36 PM,4,4,8,4,31,93,80,0,995,10,10,235,21,Herne
2018-01-05,8,7,0,5.8,2,2,74,10:13 PM,11:49 AM,09:37 AM,05:37 PM,4,5,8,5,27,68,77,0,997,8,10,230,19,Herne
2018-01-06,7,4,0,2,2,2,67,11:30 PM,12:18 PM,09:36 AM,05:39 PM,3,4,6,4,14,63,84,0,1009,7,10,141,9,Herne
2018-01-07,4,1,0,5.8,2,2,59,No moonrise,12:44 PM,09:36 AM,05:40 PM,-2,-2,3,-2,28,56,75,0,1025,4,10,57,20,Herne
2018-01-08,5,1,0,5.8,2,2,52,12:43 AM,01:07 PM,09:35 AM,05:41 PM,-2,-2,3,-2,27,24,73,0,1026,5,10,79,18,Herne
2018-01-09,6,2,0,3.9,2,2,45,01:53 AM,01:30 PM,09:35 AM,05:43 PM,2,2,4,2,16,43,85,0,1013,6,10,117,9,Herne
2018-01-10,8,5,0,3.9,2,2,38,03:01 AM,01:53 PM,09:34 AM,05:44 PM,4,5,7,5,17,64,86,0.1,1010,8,10,170,10,Herne
2018-01-11,7,4,0,2,2,2,30,04:07 AM,02:18 PM,09:34 AM,05:45 PM,5,5,6,5,6,88,93,0.3,1017,7,6,71,4,Herne
2018-01-12,5,3,0,2,1,1,23,05:11 AM,02:46 PM,09:33 AM,05:47 PM,3,4,4,4,4,92,92,0.2,1026,5,7,113,2,Herne
2018-01-13,6,3,0,2,2,2,16,06:13 AM,03:18 PM,09:32 AM,05:48 PM,2,3,5,3,12,66,82,0,1026,6,10,112,8,Herne
2018-01-14,4,1,0,5.8,2,2,9,07:11 AM,03:56 PM,09:31 AM,05:50 PM,-1,0,3,0,16,20,76,0,1022,4,10,123,11,Herne
2018-01-15,7,2,0,2.1,2,2,1,08:04 AM,04:40 PM,09:31 AM,05:51 PM,0,0,4,0,35,64,74,4.1,1007,7,9,187,23,Herne
2018-01-16,7,3,0,3.9,2,2,0,08:52 AM,05:31 PM,09:30 AM,05:53 PM,1,1,5,1,30,66,76,3,993,7,10,254,21,Herne
2018-01-17,4,1,3.7,2.1,1,1,0,09:33 AM,06:27 PM,09:29 AM,05:54 PM,-1,-2,3,-2,32,89,79,4.3,999,4,8,256,21,Herne
2018-01-18,9,3,0,2.1,1,1,6,10:08 AM,07:29 PM,09:28 AM,05:56 PM,1,0,5,0,37,90,76,2.4,998,9,10,244,26,Herne
2018-01-19,4,2,0.8,2.1,1,1,13,10:39 AM,08:32 PM,09:27 AM,05:58 PM,0,0,3,0,20,96,83,3.3,1007,4,8,244,14,Herne
2018-01-20,4,1,0.6,2.1,1,1,20,11:05 AM,09:39 PM,09:26 AM,05:59 PM,1,0,2,0,15,88,88,1.2,1005,4,9,206,10,Herne
2018-01-21,4,1,0.4,8.7,2,2,28,11:30 AM,10:46 PM,09:25 AM,06:01 PM,0,0,2,0,14,64,85,0.4,1013,4,9,251,9,Herne
2018-01-22,7,2,0,5.1,1,1,35,11:52 AM,11:55 PM,09:24 AM,06:03 PM,3,2,5,2,22,89,86,0.6,1010,7,8,232,14,Herne
2018-01-23,9,5,0,6.9,3,3,42,12:15 PM,No moonset,09:22 AM,06:04 PM,4,4,7,4,25,76,84,0.4,1020,9,7,222,16,Herne
2018-01-24,13,10,0,3.3,3,3,49,12:38 PM,01:06 AM,09:21 AM,06:06 PM,8,9,11,9,36,85,79,0,1015,13,10,212,23,Herne
2018-01-25,11,7,0,3.3,2,2,57,01:05 PM,02:18 AM,09:20 AM,06:08 PM,5,6,9,6,19,73,80,1.9,1012,11,10,214,13,Herne
2018-01-26,7,4,0,8.7,3,3,64,01:36 PM,03:34 AM,09:19 AM,06:09 PM,5,5,6,5,8,55,89,0,1019,7,10,229,6,Herne
2018-01-27,7,3,0,8.7,2,2,71,02:13 PM,04:49 AM,09:17 AM,06:11 PM,2,3,5,3,19,42,81,0,1029,7,7,212,12,Herne
2018-01-28,10,6,0,3.4,2,2,78,03:00 PM,06:04 AM,09:16 AM,06:13 PM,5,4,8,4,33,100,84,0,1029,10,10,235,22,Herne
2018-01-29,10,7,0,3.4,2,2,86,03:58 PM,07:13 AM,09:14 AM,06:15 PM,6,6,9,6,35,84,81,1.6,1025,10,9,249,23,Herne
2018-01-30,7,3,0,8.7,2,2,93,05:07 PM,08:13 AM,09:13 AM,06:16 PM,2,3,5,3,15,25,79,0,1028,7,10,233,11,Herne
2018-01-31,9,5,0,3.4,2,2,97,06:24 PM,09:03 AM,09:11 AM,06:18 PM,4,4,7,4,34,84,81,2.1,1007,9,10,227,22,Herne
2018-02-01,4,2,0.1,5.2,2,2,88,07:44 PM,09:43 AM,09:10 AM,06:20 PM,-1,-1,3,-1,24,49,74,1.2,1001,4,10,229,17,Herne
2018-02-02,5,3,1,5.2,1,1,81,09:03 PM,10:16 AM,09:08 AM,06:22 PM,1,0,4,0,20,79,83,2.1,1003,5,9,260,14,Herne
2018-02-03,5,2,0.4,6.9,1,1,73,10:20 PM,10:44 AM,09:07 AM,06:24 PM,0,1,3,1,11,73,80,0.5,1007,5,9,265,8,Herne
2018-02-04,1,-1,0.1,5.2,2,2,66,11:35 PM,11:09 AM,09:05 AM,06:26 PM,-4,-3,0,-3,14,53,74,0.1,1019,1,10,119,11,Herne
2018-02-05,2,-1,0,8.7,2,2,58,No moonrise,11:33 AM,09:03 AM,06:27 PM,-4,-4,0,-4,18,8,70,0,1027,2,10,75,14,Herne
2018-02-06,1,-3,0,7,2,2,51,12:45 AM,11:56 AM,09:02 AM,06:29 PM,-7,-4,-1,-4,14,46,64,0,1017,1,10,68,10,Herne
2018-02-07,1,-2,0,9.3,2,2,43,01:54 AM,12:21 PM,09:00 AM,06:31 PM,-7,-4,-1,-4,11,30,61,0,1017,1,10,28,9,Herne
2018-02-08,1,-3,0,9.8,2,2,36,03:00 AM,12:48 PM,08:58 AM,06:33 PM,-8,-1,0,-1,5,10,52,0,1021,1,10,158,4,Herne
2018-02-09,2,-2,0,9.8,2,2,28,04:03 AM,01:19 PM,08:56 AM,06:35 PM,-6,-4,0,-4,16,26,63,0,1015,2,10,178,12,Herne
2018-02-10,3,0,0.1,4.9,1,1,20,05:03 AM,01:55 PM,08:55 AM,06:37 PM,-1,-2,1,-2,17,92,87,0.1,1015,3,9,201,11,Herne
2018-02-11,5,1,0,8.3,1,1,13,05:58 AM,02:37 PM,08:53 AM,06:38 PM,-1,-2,3,-2,31,71,76,1.5,1003,5,9,223,20,Herne
2018-02-12,4,1,0.6,9.9,1,1,5,06:48 AM,03:25 PM,08:51 AM,06:40 PM,-2,-2,2,-2,22,46,76,0.8,1012,4,9,247,15,Herne
2018-02-13,5,0,0,9.9,2,2,0,07:32 AM,04:19 PM,08:49 AM,06:42 PM,-3,-1,2,-1,18,4,67,0,1014,5,10,175,13,Herne
2018-02-14,5,-1,0,10,2,2,0,08:09 AM,05:20 PM,08:47 AM,06:44 PM,-6,-1,2,-1,20,17,56,0,1016,5,10,154,15,Herne
2018-02-15,4,2,0,5,1,1,0,08:41 AM,06:23 PM,08:45 AM,06:46 PM,-1,-1,3,-1,30,87,76,0.6,1014,4,6,190,19,Herne
2018-02-16,7,1,0,10.1,2,2,2,09:09 AM,07:30 PM,08:43 AM,06:48 PM,0,2,4,2,14,23,79,0,1024,7,7,231,10,Herne
2018-02-17,6,1,0,8.3,2,2,10,09:35 AM,08:37 PM,08:41 AM,06:50 PM,-2,2,4,2,10,44,69,0,1025,6,10,103,7,Herne
2018-02-18,6,0,0,10.1,2,2,17,09:58 AM,09:47 PM,08:39 AM,06:51 PM,-2,1,4,1,13,14,66,0,1026,6,10,170,10,Herne
2018-02-19,5,0,0,8.3,1,1,25,10:20 AM,10:57 PM,08:37 AM,06:53 PM,-4,1,3,1,9,62,62,0,1021,5,10,158,7,Herne
2018-02-20,5,-1,0,10.2,2,2,32,10:43 AM,No moonset,08:35 AM,06:55 PM,-4,1,3,1,10,17,65,0,1019,5,10,66,8,Herne
2018-02-21,4,-1,0,10.2,2,2,40,11:09 AM,12:09 AM,08:33 AM,06:57 PM,-4,-2,2,-2,15,9,67,0,1025,4,10,50,12,Herne
2018-02-22,3,-1,0,10.3,2,2,47,11:37 AM,01:22 AM,08:31 AM,06:59 PM,-6,-3,1,-3,20,3,61,0,1024,3,10,64,15,Herne
2018-02-23,2,-2,0,10.7,2,2,55,12:11 PM,02:35 AM,08:29 AM,07:00 PM,-8,-4,0,-4,21,5,53,0,1023,2,10,68,16,Herne
2018-02-24,2,-3,0,10.8,2,2,62,12:52 PM,03:48 AM,08:27 AM,07:02 PM,-13,-6,-1,-6,28,14,37,0,1026,2,10,77,20,Herne
