date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,5,0,2,3,3,97,05:13 PM,08:33 AM,09:42 AM,05:27 PM,3,3,7,3,39,75,78,0.9,998,9,10,220,24,Lingen
2018-01-02,6,3,0,3.9,2,2,100,06:18 PM,09:39 AM,09:42 AM,05:29 PM,3,1,5,1,31,78,87,0.7,1006,6,9,231,19,Lingen
2018-01-03,8,6,0,2,2,2,89,07:33 PM,10:33 AM,09:41 AM,05:30 PM,4,2,7,2,60,99,81,10.1,988,8,9,244,40,Lingen
2018-01-04,8,6,0,2,2,2,81,08:52 PM,11:17 AM,09:41 AM,05:31 PM,4,3,7,3,38,95,84,1.1,993,8,10,235,25,Lingen
2018-01-05,7,6,0,2,2,2,74,10:11 PM,11:51 AM,09:41 AM,05:32 PM,4,3,6,3,32,70,84,0.7,994,7,9,233,21,Lingen
2018-01-06,6,2,0,2,1,1,67,11:28 PM,12:19 PM,09:41 AM,05:33 PM,2,1,4,1,23,72,89,0.1,1008,6,10,200,14,Lingen
2018-01-07,2,-1,0,5.8,2,2,59,No moonrise,12:44 PM,09:40 AM,05:35 PM,-3,-5,1,-5,34,35,77,0,1027,2,10,58,22,Lingen
2018-01-08,3,-1,0,5.8,2,2,52,12:42 AM,01:06 PM,09:40 AM,05:36 PM,-7,-6,1,-6,44,5,57,0,1028,3,10,86,28,Lingen
2018-01-09,4,0,0,5.8,2,2,45,01:53 AM,01:28 PM,09:39 AM,05:38 PM,-1,-2,2,-2,31,43,82,0.3,1014,4,9,117,18,Lingen
2018-01-10,8,4,0,2,2,2,38,03:02 AM,01:51 PM,09:38 AM,05:39 PM,4,3,6,3,22,87,92,0.3,1010,8,7,164,12,Lingen
2018-01-11,6,3,0,5.8,2,2,30,04:09 AM,02:15 PM,09:38 AM,05:40 PM,3,3,4,3,12,51,92,0,1017,6,8,72,6,Lingen
2018-01-12,4,3,0,2,1,1,23,05:14 AM,02:42 PM,09:37 AM,05:42 PM,2,2,4,2,11,99,93,0.2,1026,4,7,145,8,Lingen
2018-01-13,5,1,0,2,1,1,16,06:16 AM,03:14 PM,09:36 AM,05:44 PM,1,0,3,0,23,74,89,0,1027,5,7,106,14,Lingen
2018-01-14,3,0,0,5.8,2,2,9,07:15 AM,03:52 PM,09:35 AM,05:45 PM,-2,-3,1,-3,26,46,77,0,1023,3,10,113,17,Lingen
2018-01-15,6,1,0,2,1,1,1,08:08 AM,04:35 PM,09:35 AM,05:47 PM,0,-2,3,-2,44,77,81,3.5,1005,6,10,184,27,Lingen
2018-01-16,6,2,0,3.9,2,2,0,08:56 AM,05:27 PM,09:34 AM,05:48 PM,1,-1,4,-1,36,78,81,0,990,6,10,249,24,Lingen
