date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,1,-2,0.4,1.5,1,1,97,04:27 PM,09:06 AM,10:22 AM,04:35 PM,-1,-3,-1,-3,13,87,96,0.4,983,1,4,192,7,Manheim
2018-01-02,-3,-7,0,5.8,2,2,100,05:33 PM,10:13 AM,10:22 AM,04:36 PM,-7,-8,-5,-8,15,8,87,0,995,-3,10,297,7,Manheim
2018-01-03,-4,-6,6.8,1.5,1,1,89,06:52 PM,11:03 AM,10:21 AM,04:38 PM,-6,-9,-5,-9,16,100,94,8,988,-4,5,29,10,Manheim
2018-01-04,-3,-5,1.6,1.5,1,1,81,08:19 PM,11:40 AM,10:20 AM,04:39 PM,-5,-8,-4,-8,14,99,93,1.9,991,-3,5,183,8,Manheim
2018-01-05,-5,-8,0.6,5.8,1,1,74,09:47 PM,12:06 PM,10:20 AM,04:41 PM,-8,-10,-7,-10,15,75,90,0.7,995,-5,8,300,8,Manheim
2018-01-06,-8,-12,0,5.8,2,2,67,11:12 PM,12:27 PM,10:19 AM,04:43 PM,-12,-14,-10,-14,18,36,80,0,1012,-8,10,319,8,Manheim
2018-01-07,-1,-13,0,5.8,2,2,59,No moonrise,12:44 PM,10:18 AM,04:44 PM,-11,-13,-7,-13,24,27,77,0,1027,-1,10,278,13,Manheim
2018-01-08,-1,-6,0,5.8,2,2,52,12:34 AM,12:59 PM,10:17 AM,04:46 PM,-6,-7,-4,-7,18,27,81,0,1032,-1,10,292,9,Manheim
2018-01-09,-5,-10,0,5.8,2,2,45,01:53 AM,01:14 PM,10:16 AM,04:48 PM,-12,-10,-7,-10,13,3,69,0,1028,-5,10,174,6,Manheim
2018-01-10,-5,-11,2,3.7,1,1,38,03:09 AM,01:30 PM,10:15 AM,04:50 PM,-8,-10,-7,-10,13,69,89,2.4,1019,-5,7,30,7,Manheim
2018-01-11,-3,-6,0.7,1.6,1,1,30,04:23 AM,01:47 PM,10:14 AM,04:52 PM,-5,-6,-4,-6,8,89,95,0.9,1025,-3,4,15,5,Manheim
2018-01-12,-5,-10,0.2,5.8,1,1,23,05:35 AM,02:07 PM,10:13 AM,04:54 PM,-8,-9,-7,-9,9,55,94,0.2,1036,-5,7,22,4,Manheim
2018-01-13,-5,-9,0.5,1.6,1,1,16,06:43 AM,02:33 PM,10:11 AM,04:56 PM,-8,-9,-7,-9,8,90,95,0.6,1037,-5,5,50,5,Manheim
2018-01-14,-4,-7,1.1,1.6,1,1,9,07:47 AM,03:07 PM,10:10 AM,04:59 PM,-6,-9,-6,-9,11,98,97,1.3,1028,-4,3,128,7,Manheim
2018-01-15,-3,-5,7.6,1.7,1,1,1,08:43 AM,03:49 PM,10:09 AM,05:01 PM,-4,-9,-4,-9,21,100,96,8.9,1000,-3,6,136,15,Manheim
2018-01-16,-2,-9,5.9,1.7,1,1,0,09:30 AM,04:41 PM,10:07 AM,05:03 PM,-5,-7,-5,-7,10,96,95,7,978,-2,5,211,6,Manheim
2018-01-17,-7,-12,0.2,1.8,2,2,0,10:07 AM,05:42 PM,10:05 AM,05:05 PM,-11,-13,-10,-13,11,48,89,0.2,987,-7,10,332,6,Manheim
