date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,6,2,0,5.8,2,2,97,05:13 PM,07:57 AM,09:04 AM,05:31 PM,1,1,4,1,28,53,78,0.8,1010,6,9,219,16,Munich
2018-01-02,4,1,0,2.1,1,1,100,06:18 PM,09:03 AM,09:04 AM,05:32 PM,0,-1,3,-1,34,76,78,1.3,1015,4,9,251,22,Munich
2018-01-03,8,3,0,2.1,1,1,89,07:31 PM,09:59 AM,09:04 AM,05:33 PM,1,1,5,1,39,82,75,2.8,1006,8,10,238,23,Munich
2018-01-04,9,3,0,2.1,2,2,81,08:46 PM,10:45 AM,09:04 AM,05:34 PM,3,1,5,1,33,92,87,11.1,1005,9,9,237,20,Munich
2018-01-05,10,6,0,3.9,3,3,74,10:02 PM,11:24 AM,09:04 AM,05:35 PM,6,6,8,6,22,62,86,2.2,1004,10,10,237,12,Munich
2018-01-06,9,4,0,5.8,2,2,67,11:15 PM,11:56 AM,09:04 AM,05:36 PM,5,5,6,5,10,42,92,0.2,1009,9,6,135,6,Munich
2018-01-07,5,2,0,5.8,2,2,59,No moonrise,12:24 PM,09:03 AM,05:37 PM,2,1,4,1,18,47,88,0,1018,5,10,88,11,Munich
2018-01-08,6,3,0,5.8,2,2,52,12:25 AM,12:50 PM,09:03 AM,05:38 PM,2,0,4,0,24,47,90,0,1022,6,10,91,15,Munich
2018-01-09,10,2,0,5.8,2,2,45,01:33 AM,01:15 PM,09:03 AM,05:40 PM,2,3,5,3,21,32,83,0,1015,10,10,145,11,Munich
2018-01-10,7,2,0,5.8,2,2,38,02:38 AM,01:41 PM,09:02 AM,05:41 PM,2,3,4,3,7,22,85,0,1015,7,10,153,4,Munich
2018-01-11,4,0,0,5.8,2,2,30,03:42 AM,02:08 PM,09:02 AM,05:42 PM,-1,1,2,1,7,50,82,0,1017,4,9,119,4,Munich
2018-01-12,3,-1,0,5.8,1,1,23,04:43 AM,02:38 PM,09:01 AM,05:43 PM,0,0,1,0,8,66,90,0,1025,3,7,70,5,Munich
2018-01-13,3,-2,0,5.8,2,2,16,05:43 AM,03:12 PM,09:01 AM,05:45 PM,-2,-3,0,-3,15,55,87,0,1026,3,8,86,10,Munich
2018-01-14,1,-2,0.1,3.2,1,1,9,06:40 AM,03:52 PM,09:00 AM,05:46 PM,-3,-3,0,-3,9,82,85,0.2,1023,1,9,84,7,Munich
