date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,city
2018-01-01,10,5,0,3.9,2,2,97,04:47 PM,08:07 AM,09:17 AM,05:03 PM,3,5,8,5,28,53,73,0.4,1001,10,9,218,17,Berlin
2018-01-02,5,4,0,2,1,1,100,05:53 PM,09:14 AM,09:17 AM,05:04 PM,2,2,5,2,17,87,84,3,1006,5,10,234,11,Berlin
2018-01-03,7,3,0,3.9,2,2,89,07:07 PM,10:08 AM,09:17 AM,05:05 PM,2,1,5,1,34,76,78,7,991,7,10,210,22,Berlin
2018-01-04,7,6,0,3.9,2,2,81,08:26 PM,10:52 AM,09:17 AM,05:06 PM,3,3,7,3,32,84,76,0.5,993,7,8,233,22,Berlin
2018-01-05,8,5,0,2,3,3,74,09:46 PM,11:26 AM,09:16 AM,05:08 PM,3,4,7,4,26,63,79,0,996,8,10,240,17,Berlin
2018-01-06,7,4,0,2,2,2,67,11:03 PM,11:55 AM,09:16 AM,05:09 PM,4,4,5,4,14,68,90,0.1,1008,7,8,256,9,Berlin
2018-01-07,4,-1,0,5.8,2,2,59,No moonrise,12:19 PM,09:16 AM,05:10 PM,-3,-2,2,-2,21,50,72,0.1,1028,4,10,48,15,Berlin
2018-01-08,1,-2,0,5.8,2,2,52,12:16 AM,12:42 PM,09:15 AM,05:12 PM,-9,-5,0,-5,24,0,50,0,1034,1,10,83,17,Berlin
2018-01-09,4,0,0,5.8,2,2,45,01:28 AM,01:04 PM,09:15 AM,05:13 PM,-8,-3,2,-3,35,28,47,0.1,1021,4,10,110,21,Berlin
2018-01-10,5,2,0,5.8,2,2,38,02:36 AM,01:26 PM,09:14 AM,05:15 PM,3,2,4,2,11,54,93,0,1014,5,7,142,6,Berlin
