date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,city
2018-01-01,5,0,0.1,5.8,2,2,97,04:58 PM,08:01 AM,09:10 AM,05:15 PM,1,-1,3,-1,25,65,86,0.3,1005,5,8,219,16,Markerbach
2018-01-02,2,0,2,2,1,1,100,06:04 PM,09:07 AM,09:10 AM,05:16 PM,0,-3,1,-3,26,95,91,2.3,1008,2,7,256,18,Markerbach
2018-01-03,5,0,0.2,3.9,1,1,89,07:17 PM,10:02 AM,09:09 AM,05:17 PM,0,-3,2,-3,33,88,86,5.5,997,5,6,232,22,Markerbach
2018-01-04,5,2,0.1,2,1,1,81,08:34 PM,10:47 AM,09:09 AM,05:18 PM,1,-2,3,-2,28,95,90,3.4,998,5,7,241,18,Markerbach
2018-01-05,5,3,0.3,2,1,1,74,09:52 PM,11:24 AM,09:09 AM,05:19 PM,3,1,4,1,24,88,91,0.7,1000,5,8,244,16,Markerbach
2018-01-06,6,3,0.2,3.9,1,1,67,11:07 PM,11:54 AM,09:09 AM,05:21 PM,4,3,4,3,9,90,95,0.8,1009,6,5,179,6,Markerbach
2018-01-07,3,0,1.1,2,1,1,59,No moonrise,12:20 PM,09:08 AM,05:22 PM,1,-1,2,-1,14,100,96,1.3,1023,3,5,63,10,Markerbach
2018-01-08,1,-1,0,2,1,1,52,12:19 AM,12:44 PM,09:08 AM,05:23 PM,-1,-4,0,-4,20,98,93,0,1028,1,8,104,13,Markerbach
2018-01-09,6,1,0,3.9,1,1,45,01:29 AM,01:08 PM,09:07 AM,05:25 PM,2,0,4,0,29,78,92,0.3,1017,6,6,123,19,Markerbach
2018-01-10,6,0,0.1,5.8,2,2,38,02:36 AM,01:32 PM,09:07 AM,05:26 PM,2,2,3,2,6,51,93,0.1,1014,6,7,173,4,Markerbach
2018-01-11,4,-1,0,5.8,2,2,30,03:41 AM,01:57 PM,09:06 AM,05:27 PM,0,1,1,1,3,44,89,0,1017,4,10,276,2,Markerbach
2018-01-12,2,-1,0.5,2.1,1,1,23,04:44 AM,02:26 PM,09:06 AM,05:29 PM,0,0,1,0,4,94,94,0.6,1026,2,4,100,3,Markerbach
2018-01-13,0,-5,0.2,2.1,1,1,16,05:46 AM,02:59 PM,09:05 AM,05:30 PM,-3,-5,-2,-5,10,74,90,0.2,1029,0,7,114,8,Markerbach
2018-01-14,-3,-4,0.1,5.8,1,1,9,06:43 AM,03:37 PM,09:04 AM,05:32 PM,-5,-9,-3,-9,22,77,85,0.1,1026,-3,10,118,16,Markerbach
2018-01-15,-1,-5,0.2,5.8,2,2,1,07:37 AM,04:21 PM,09:04 AM,05:33 PM,-6,-8,-3,-8,17,60,84,0.3,1018,-1,8,151,12,Markerbach
2018-01-16,2,-2,2.6,2.1,1,1,0,08:24 AM,05:12 PM,09:03 AM,05:35 PM,-1,-5,0,-5,30,90,88,4.9,997,2,6,236,20,Markerbach
2018-01-17,-1,-2,2,2.1,1,1,0,09:06 AM,06:08 PM,09:02 AM,05:36 PM,-4,-7,-2,-7,27,96,86,3.4,999,-1,6,269,19,Markerbach
2018-01-18,4,-2,2.2,3.9,1,1,6,09:42 AM,07:08 PM,09:01 AM,05:38 PM,-2,-6,0,-6,40,81,84,4,1001,4,5,257,27,Markerbach
2018-01-19,-1,-5,2.3,3.1,1,1,13,10:13 AM,08:11 PM,09:00 AM,05:39 PM,-3,-6,-2,-6,18,93,94,2.7,1008,-1,6,273,12,Markerbach
2018-01-20,-1,-5,0.9,5.1,1,1,20,10:40 AM,09:17 PM,08:59 AM,05:41 PM,-4,-6,-3,-6,16,92,93,1.1,1008,-1,6,218,10,Markerbach
2018-01-21,-2,-8,2.5,3.3,1,1,28,11:05 AM,10:23 PM,08:58 AM,05:42 PM,-4,-6,-3,-6,11,91,97,2.9,1012,-2,3,205,7,Markerbach
2018-01-22,0,-7,2.1,3.3,1,1,35,11:29 AM,11:32 PM,08:57 AM,05:44 PM,-4,-7,-4,-7,14,86,95,2.5,1014,0,3,186,9,Markerbach
2018-01-23,1,0,1.8,3.3,1,1,42,11:52 AM,No moonset,08:56 AM,05:46 PM,0,-3,1,-3,22,100,98,2.1,1023,1,6,269,14,Markerbach
2018-01-24,4,1,0.3,3.3,1,1,49,12:16 PM,12:41 AM,08:55 AM,05:47 PM,2,-1,3,-1,23,86,96,0.3,1022,4,5,219,12,Markerbach
2018-01-25,5,2,0,3.4,1,1,57,12:44 PM,01:53 AM,08:53 AM,05:49 PM,2,0,3,0,20,96,94,0.2,1017,5,7,204,10,Markerbach
2018-01-26,3,0,0.9,3.4,1,1,64,01:15 PM,03:07 AM,08:52 AM,05:51 PM,1,1,2,1,9,93,96,1,1019,3,3,160,5,Markerbach
2018-01-27,2,-1,1.7,3.4,1,1,71,01:54 PM,04:22 AM,08:51 AM,05:52 PM,1,0,1,0,8,90,99,2,1031,2,2,251,5,Markerbach
