,POWERPLANT_FULLNAME,Year,Month,count
0,Bergkamen,2018,August,6
1,Bergkamen,2018,December,6
2,Bergkamen,2018,February,29
3,Bergkamen,2018,January,2
4,Bergkamen,2018,July,8
5,Bergkamen,2018,June,2
6,Bergkamen,2018,May,4
7,Bergkamen,2018,March,14
8,Bergkamen,2018,November,4
9,Bergkamen,2018,October,3
10,Bergkamen,2018,September,6
11,Bergkamen,2018,April,9
12,Bexbach,2018,August,1
13,Bexbach,2018,July,2
14,Bexbach,2018,September,1
15,Bexbach,2018,April,1
16,Datteln,2018,January,1
17,Elverlingsen,2018,February,2
18,Elverlingsen,2018,January,7
19,Emsland,2018,August,19
20,Emsland,2018,December,28
21,Emsland,2018,February,29
22,Emsland,2018,January,18
23,Emsland,2018,July,21
24,Emsland,2018,June,60
25,Emsland,2018,May,27
26,Emsland,2018,March,20
27,Emsland,2018,November,11
28,Emsland,2018,October,9
29,Emsland,2018,September,13
30,Emsland,2018,April,15
31,Ensdorf,2018,January,1
32,GKM AG Amprion,2018,August,14
33,GKM AG Amprion,2018,December,7
34,GKM AG Amprion,2018,February,2
35,GKM AG Amprion,2018,January,7
36,GKM AG Amprion,2018,July,2
37,GKM AG Amprion,2018,June,8
38,GKM AG Amprion,2018,May,15
39,GKM AG Amprion,2018,March,3
40,GKM AG Amprion,2018,November,3
41,GKM AG Amprion,2018,October,12
42,GKM AG Amprion,2018,September,6
43,GKM AG Amprion,2018,April,4
44,GTHKW Nossener Bruec,2018,August,3
45,GTHKW Nossener Bruec,2018,July,1
46,GTHKW Nossener Bruec,2018,June,2
47,GTHKW Nossener Bruec,2018,May,2
48,GTHKW Nossener Bruec,2018,October,1
49,GTHKW Nossener Bruec,2018,September,3
50,GTHKW Nossener Bruec,2018,April,3
51,Gersteinwerk,2018,August,6
52,Gersteinwerk,2018,December,8
53,Gersteinwerk,2018,February,31
54,Gersteinwerk,2018,January,28
55,Gersteinwerk,2018,July,8
56,Gersteinwerk,2018,June,6
57,Gersteinwerk,2018,March,31
58,Gersteinwerk,2018,November,20
59,Gersteinwerk,2018,October,7
60,Gersteinwerk,2018,September,12
61,Gersteinwerk,2018,April,2
62,GuD Dormagen,2018,December,2
63,GuD Dormagen,2018,February,1
64,GuD Dormagen,2018,January,3
65,GuD Dormagen,2018,July,5
66,GuD Dormagen,2018,June,2
67,GuD Dormagen,2018,May,1
68,GuD Dormagen,2018,March,7
69,GuD Dormagen,2018,November,2
70,GuD Dormagen,2018,October,3
71,GuD Dormagen,2018,September,4
72,GuD Dormagen,2018,April,4
73,GuD Ludwigshafen Mit,2018,March,1
74,GuD Ludwigshafen Mit,2018,September,1
75,GuD Ludwigshafen Mit,2018,April,2
76,GuD Ludwigshafen Süd,2018,December,1
77,GuD Ludwigshafen Süd,2018,July,2
78,GuD Ludwigshafen Süd,2018,June,1
79,GuD Ludwigshafen Süd,2018,May,2
80,GuD Ludwigshafen Süd,2018,March,1
81,GuD Ludwigshafen Süd,2018,April,1
82,Gundremmingen,2018,August,2
83,Gundremmingen,2018,February,8
84,Gundremmingen,2018,July,9
85,Gundremmingen,2018,May,14
86,Gundremmingen,2018,March,11
87,Gundremmingen,2018,November,3
88,Gundremmingen,2018,April,37
89,HAMBORN-KW,2018,August,1
90,HAMBORN-KW,2018,January,5
91,HAMBORN-KW,2018,May,1
92,HERDECKE,2018,August,2
93,HERDECKE,2018,December,6
94,HERDECKE,2018,February,6
95,HERDECKE,2018,January,3
96,HERDECKE,2018,July,4
97,HERDECKE,2018,June,5
98,HERDECKE,2018,March,7
99,HERDECKE,2018,November,4
100,HERDECKE,2018,October,3
101,HERDECKE,2018,September,6
102,HERDECKE,2018,April,2
103,HKW Klingenberg,2018,January,3
104,HKW Klingenberg,2018,July,1
105,HKW Klingenberg,2018,June,1
106,HKW Klingenberg,2018,May,3
107,HKW Klingenberg,2018,March,2
108,HKW Klingenberg,2018,November,1
109,HKW Klingenberg,2018,October,17
110,HKW Klingenberg,2018,September,3
111,HKW Klingenberg,2018,April,14
112,HKW Lichterfelde,2018,August,3
113,HKW Lichterfelde,2018,February,18
114,HKW Lichterfelde,2018,January,14
115,HKW Lichterfelde,2018,July,8
116,HKW Lichterfelde,2018,June,14
117,HKW Lichterfelde,2018,March,21
118,HKW Lichterfelde,2018,November,6
119,HKW Lichterfelde,2018,October,4
120,HKW Lichterfelde,2018,April,6
121,HKW Mitte,2018,August,1
122,HKW Mitte,2018,December,9
123,HKW Mitte,2018,January,14
124,HKW Mitte,2018,July,16
125,HKW Mitte,2018,June,6
126,HKW Mitte,2018,May,11
127,HKW Mitte,2018,March,24
128,HKW Mitte,2018,November,51
129,HKW Mitte,2018,October,36
130,HKW Mitte,2018,September,3
131,HKW Mitte,2018,April,23
132,HKW Moorburg,2018,August,18
133,HKW Moorburg,2018,December,13
134,HKW Moorburg,2018,February,17
135,HKW Moorburg,2018,January,27
136,HKW Moorburg,2018,July,18
137,HKW Moorburg,2018,June,15
138,HKW Moorburg,2018,May,24
139,HKW Moorburg,2018,March,36
140,HKW Moorburg,2018,November,20
141,HKW Moorburg,2018,October,41
142,HKW Moorburg,2018,September,22
143,HKW Moorburg,2018,April,18
144,HKW Nord,2018,January,1
145,HKW Nord,2018,July,1
146,HKW Reuter,2018,August,1
147,HKW Reuter,2018,December,1
148,HKW Reuter,2018,February,4
149,HKW Reuter,2018,January,1
150,HKW Reuter,2018,July,5
151,HKW Reuter,2018,June,3
152,HKW Reuter,2018,March,3
153,HKW Reuter,2018,September,4
154,HKW Reuter,2018,April,5
155,HKW Reuter West,2018,August,6
156,HKW Reuter West,2018,December,19
157,HKW Reuter West,2018,February,2
158,HKW Reuter West,2018,January,54
159,HKW Reuter West,2018,July,9
160,HKW Reuter West,2018,June,34
161,HKW Reuter West,2018,May,4
162,HKW Reuter West,2018,March,25
163,HKW Reuter West,2018,November,21
164,HKW Reuter West,2018,October,13
165,HKW Reuter West,2018,September,5
